City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Min Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
195,195,Port Macquarie,AU,-31.4333,152.9167,64.89,64.89,58,17,5.37,few clouds,2022-08-05 23:26:44
196,196,Wausau,US,44.9591,-89.6301,84.11,78.89,49,0,11.5,clear sky,2022-08-05 23:34:34
197,197,Tiksi,RU,71.6872,128.8694,41.2,41.2,89,100,6.82,overcast clouds,2022-08-05 23:33:21
198,198,Fria,GN,10.4167,-13.5833,72.21,72.21,98,88,0.63,overcast clouds,2022-08-05 23:34:34
199,199,Khandagayty,RU,50.7333,92.05,53.37,53.37,58,12,7.54,few clouds,2022-08-05 23:34:35
200,200,Luanda,AO,-8.8368,13.2343,68.0,68.0,83,75,4.61,broken clouds,2022-08-05 23:31:27
201,201,Asau,RO,46.4333,26.4,63.52,63.52,77,3,4.03,clear sky,2022-08-05 23:28:09
202,202,Sarangani,PH,5.4033,125.4636,82.92,82.92,71,52,7.9,broken clouds,2022-08-05 23:34:36
203,203,Georgetown,MY,5.4112,100.3354,82.89,77.99,89,20,7.0,few clouds,2022-08-05 23:30:20
204,204,Billings,US,45.7833,-108.5007,81.28,78.51,28,75,14.97,broken clouds,2022-08-05 23:33:09
205,205,Cherskiy,RU,68.75,161.3,54.91,54.91,50,99,12.24,overcast clouds,2022-08-05 23:34:36
206,206,College,US,64.8569,-147.8028,53.55,49.8,93,100,12.66,moderate rain,2022-08-05 23:34:37
207,207,Muros,ES,42.7762,-9.0603,69.1,67.84,74,89,16.46,overcast clouds,2022-08-05 23:34:37
208,208,Tahta,EG,26.7693,31.5021,86.79,86.79,29,85,8.57,overcast clouds,2022-08-05 23:34:38
209,209,Yenagoa,NG,4.9247,6.2642,73.04,73.04,88,64,3.6,broken clouds,2022-08-05 23:34:38
210,210,Mogadishu,SO,2.0371,45.3438,75.67,75.67,83,56,19.86,light rain,2022-08-05 23:34:39
211,211,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,46.15,46.15,90,2,4.81,clear sky,2022-08-05 23:34:39
212,212,Guanica,PR,17.9716,-66.908,84.13,76.6,80,91,13.6,overcast clouds,2022-08-05 23:34:40
213,213,Rincon,US,32.296,-81.2354,84.16,82.83,79,75,6.91,broken clouds,2022-08-05 23:31:39
214,214,Norman Wells,CA,65.282,-126.8329,82.44,82.44,32,20,9.22,few clouds,2022-08-05 23:34:40
